Date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
2023-10-30 00:00:00,,,,34556.242814761616,,,,,,,,,,
2023-10-31 00:00:00,34556.242814761616,34556.242814761616,34498.70391946407,34498.70391946407,,,,,,,,,,
2023-11-01 00:00:00,34498.70391946407,34672.2892841885,34498.70391946407,34672.2892841885,,,,,,,,,,
2023-11-02 00:00:00,34672.2892841885,35457.45491210553,34672.2892841885,35457.45491210553,,,,,,,,,,
2023-11-03 00:00:00,35457.45491210553,35457.45491210553,34924.05545044328,34924.05545044328,,,,,,,35436.53762957962,-1.446197098862625,34731.38136896784,0.5547550194694818
2023-11-04 00:00:00,34924.05545044328,34924.05545044328,34731.38136896784,34731.38136896784,,,,,,,35795.0806307102,-2.9716353280952386,34731.38136896784,0.0
2023-11-05 00:00:00,34731.38136896784,35048.407834901074,34731.38136896784,35048.407834901074,,,,,,,36768.42081912672,-4.677962626371221,35031.26888208706,0.04892472742481024
2023-11-06 00:00:00,35048.407834901074,35061.92874919579,35048.407834901074,35061.92874919579,35457.45491210553,,-1.1154950739984089,34498.70391946407,,1.6325970710277908,37344.249000720345,-6.111570891358756,35031.26888208706,0.08752142896086877
2023-11-07 00:00:00,35061.92874919579,35061.92874919579,35031.26888208706,35031.26888208706,35457.45491210553,,-1.2019645264301433,34498.70391946407,,1.5437245522795473,37344.249000720345,-6.193671530490996,35031.26888208706,0.0
2023-11-08 00:00:00,35031.26888208706,35436.53762957962,35031.26888208706,35436.53762957962,35457.45491210553,,-0.058992622504236786,34672.2892841885,,2.2042050328059655,37344.249000720345,-5.108447544637793,35436.53762957962,0.0
2023-11-09 00:00:00,35436.53762957962,35795.0806307102,35436.53762957962,35795.0806307102,35795.0806307102,0.0,0.0,34731.38136896784,,3.0626459985630325,37344.249000720345,-4.148345224401914,35795.0806307102,0.0
2023-11-10 00:00:00,35795.0806307102,36768.42081912672,35795.0806307102,36768.42081912672,36768.42081912672,0.0,0.0,34731.38136896784,,5.865126493295627,37344.249000720345,-1.5419460747022136,35545.201433454065,3.4413066640308716
2023-11-11 00:00:00,36768.42081912672,37344.249000720345,36768.42081912672,37344.249000720345,37344.249000720345,0.0,0.0,34731.38136896784,,7.523074317127722,37903.66245166294,-1.4758823152142386,35545.201433454065,5.061295181107261
2023-11-12 00:00:00,37344.249000720345,37344.249000720345,37122.72282430656,37122.72282430656,37344.249000720345,0.0,-0.5932002445932438,35031.26888208706,,5.970248891809192,37903.66245166294,-2.0603276223037232,35545.201433454065,4.438071321120103
2023-11-13 00:00:00,37122.72282430656,37122.72282430656,37067.69698212008,37067.69698212008,37344.249000720345,1.0,-0.7405478112437986,35031.26888208706,,5.8131725313390685,37903.66245166294,-2.205500512276184,35545.201433454065,4.2832660591791845
2023-11-14 00:00:00,37067.69698212008,37067.69698212008,36549.16204829837,36549.16204829837,37344.249000720345,2.0,-2.1290746867252244,35031.26888208706,,4.332966560019388,37903.66245166294,-3.5735343651603824,35545.201433454065,2.824461739860639
2023-11-15 00:00:00,36549.16204829837,36549.16204829837,35545.201433454065,35545.201433454065,37344.249000720345,3.0,-4.817468861755868,35436.53762957962,,0.3066434001264793,37903.66245166294,-6.2222510059984995,35545.201433454065,0.0
2023-11-16 00:00:00,35545.201433454065,37903.66245166294,35545.201433454065,37903.66245166294,37903.66245166294,0.0,0.0,35545.201433454065,0.0,6.635103820199935,37903.66245166294,0.0,36201.51611146142,4.701864791962736
2023-11-17 00:00:00,37903.66245166294,37903.66245166294,36201.51611146142,36201.51611146142,37903.66245166294,0.0,-4.490717334696093,35545.201433454065,1.0,1.8464227280750412,37489.298470802016,-3.435066570647006,35965.36036068078,0.6566200043940431
2023-11-18 00:00:00,36201.51611146142,36527.76022530742,36201.51611146142,36527.76022530742,37903.66245166294,1.0,-3.629998098759323,35545.201433454065,2.0,2.764251578916647,37489.298470802016,-2.564833925189274,35965.36036068078,1.5637264828895916
