Date,Open,High,Low,Close
2023-10-30 00:00:00,,,,34556.242814761616
2023-10-31 00:00:00,34556.242814761616,34556.242814761616,34498.70391946407,34498.70391946407
2023-11-01 00:00:00,34498.70391946407,34672.2892841885,34498.70391946407,34672.2892841885
2023-11-02 00:00:00,34672.2892841885,35457.45491210553,34672.2892841885,35457.45491210553
2023-11-03 00:00:00,35457.45491210553,35457.45491210553,34924.05545044328,34924.05545044328
2023-11-04 00:00:00,34924.05545044328,34924.05545044328,34731.38136896784,34731.38136896784
2023-11-05 00:00:00,34731.38136896784,35048.407834901074,34731.38136896784,35048.407834901074
2023-11-06 00:00:00,35048.407834901074,35061.92874919579,35048.407834901074,35061.92874919579
2023-11-07 00:00:00,35061.92874919579,35061.92874919579,35031.26888208706,35031.26888208706
2023-11-08 00:00:00,35031.26888208706,35436.53762957962,35031.26888208706,35436.53762957962
2023-11-09 00:00:00,35436.53762957962,35795.080630710196,35436.53762957962,35795.080630710196
2023-11-10 00:00:00,35795.080630710196,36768.42081912672,35795.080630710196,36768.42081912672
2023-11-11 00:00:00,36768.42081912672,37344.249000720345,36768.42081912672,37344.249000720345
2023-11-12 00:00:00,37344.249000720345,37344.249000720345,37122.722824306555,37122.722824306555
2023-11-13 00:00:00,37122.722824306555,37122.722824306555,37067.69698212008,37067.69698212008
2023-11-14 00:00:00,37067.69698212008,37067.69698212008,36549.16204829837,36549.16204829837
2023-11-15 00:00:00,36549.16204829837,36549.16204829837,35545.201433454065,35545.201433454065
2023-11-16 00:00:00,35545.201433454065,37903.66245166294,35545.201433454065,37903.66245166294
2023-11-17 00:00:00,37903.66245166294,37903.66245166294,36201.51611146142,36201.51611146142
2023-11-18 00:00:00,36201.51611146142,36527.76022530742,36201.51611146142,36527.76022530742
2023-11-19 00:00:00,36527.76022530742,36582.36844192274,36527.76022530742,36582.36844192274
2023-11-20 00:00:00,36582.36844192274,37413.99460790531,36582.36844192274,37413.99460790531
2023-11-21 00:00:00,37413.99460790531,37489.298470802016,37413.99460790531,37489.298470802016
2023-11-22 00:00:00,37489.298470802016,37489.298470802016,35965.36036068078,35965.36036068078
2023-11-23 00:00:00,35965.36036068078,37464.83293220907,35965.36036068078,37464.83293220907
2023-11-24 00:00:00,37464.83293220907,37464.83293220907,37293.316127426726,37293.316127426726
2023-11-25 00:00:00,37293.316127426726,37738.93169747125,37293.316127426726,37738.93169747125
2023-11-26 00:00:00,37738.93169747125,37809.85286625321,37738.93169747125,37809.85286625321
2023-11-27 00:00:00,37809.85286625321,37809.85286625321,37491.838186008135,37491.838186008135
2023-11-28 00:00:00,37491.838186008135,37491.838186008135,37250.16905148115,37250.16905148115
2023-11-29 00:00:00,37250.16905148115,37802.23604377473,37250.16905148115,37802.23604377473
2023-11-30 00:00:00,37802.23604377473,37810.34641654128,37802.23604377473,37810.34641654128
2023-12-01 00:00:00,37810.34641654128,37810.34641654128,37711.81837585267,37711.81837585267
2023-12-02 00:00:00,37711.81837585267,38688.25874179069,37711.81837585267,38688.25874179069
2023-12-03 00:00:00,38688.25874179069,39481.666416062864,38688.25874179069,39481.666416062864
2023-12-04 00:00:00,39481.666416062864,39960.275420410515,39481.666416062864,39960.275420410515
2023-12-05 00:00:00,39960.275420410515,41974.331772543344,39960.275420410515,41974.331772543344
2023-12-06 00:00:00,41974.331772543344,44105.94477259938,41974.331772543344,44105.94477259938
2023-12-07 00:00:00,44105.94477259938,44105.94477259938,43788.28880825234,43788.28880825234
2023-12-08 00:00:00,43788.28880825234,43788.28880825234,43270.11955970747,43270.11955970747
2023-12-09 00:00:00,43270.11955970747,44202.17610943621,43270.11955970747,44202.17610943621
2023-12-10 00:00:00,44202.17610943621,44202.17610943621,43745.49199189547,43745.49199189547
2023-12-11 00:00:00,43745.49199189547,43757.959937619176,43745.49199189547,43757.959937619176
2023-12-12 00:00:00,43757.959937619176,43757.959937619176,41200.96272610168,41200.96272610168
2023-12-13 00:00:00,41200.96272610168,41450.819387377436,41200.96272610168,41450.819387377436
2023-12-14 00:00:00,41450.819387377436,42931.76182603245,41450.819387377436,42931.76182603245
2023-12-15 00:00:00,42931.76182603245,43009.5954563739,42931.76182603245,43009.5954563739
